CNAE,UF,count_contratos,valor_total,valor_medio,n_orgaos,n_meis,share_cnae,share_uf,log_valor_medio,log_valor_total,log_count,diversidade_orgaos,densidade_mei,target
8712300,76360000,1,400000.0,400000.0,1,1,0.001972697861595518,7.890791446382072e-05,12.899222326086994,12.899222326086994,0.6931471805599453,0.008403361344537815,1.0,0
8599699,TO,1,380000.0,380000.0,1,1,0.019726978615955182,0.004339935295510139,12.847929163278053,12.847929163278053,0.6931471805599453,0.008403361344537815,1.0,0
4789007,RS,1,37770.0,37770.0,1,1,0.0044188432099739605,0.12214945158999448,10.539296891395203,10.539296891395203,0.6931471805599453,0.008403361344537815,1.0,0
1091101,RN,1,312784.0,312784.0,1,1,0.0018148820326678765,0.012940897972066599,12.653271332539271,12.653271332539271,0.6931471805599453,0.008403361344537815,1.0,0
4782201,MG,2,724125.0,362062.5,2,2,0.00023672374339146217,0.1032115521186775,12.799574889789248,13.492720689375012,1.0986122886681098,0.01680672268907563,1.0,0
4713002,BA,2,431200.0,215600.0,2,2,0.001420342460348773,0.0658881085772903,12.281184756225146,12.974329617683697,1.0986122886681098,0.01680672268907563,1.0,0
9329899,PA,1,110000.0,110000.0,1,1,0.006075909413714196,0.003629764065335753,11.608244735642321,11.608244735642321,0.6931471805599453,0.008403361344537815,1.0,0
1091101,PI,1,600000.0,600000.0,1,1,0.0018148820326678765,0.001972697861595518,13.304686600863562,13.304686600863562,0.6931471805599453,0.008403361344537815,1.0,0
5819100,74393120,3,324384.0,108128.0,3,1,0.0029985007496251873,0.00023672374339146217,11.591080237769564,12.68968636094348,1.3862943611198906,0.025210084033613446,0.3333333333333333,0
5811500,SETOR JAO,1,1239000.0,1239000.0,1,1,0.0022094216049869803,7.890791446382072e-05,14.029815967713455,14.029815967713455,0.6931471805599453,0.008403361344537815,1.0,0
1352900,GO,6,309003.0,51500.5,3,2,0.0009468949735658487,0.0982403535074568,10.849366212441259,12.641109500779915,1.9459101490553132,0.025210084033613446,0.3333333333333333,1
3101200,76265000,2,16400.0,8200.0,1,1,0.007259528130671506,0.00015781582892764143,9.012011377036412,9.70509758756311,1.0986122886681098,0.008403361344537815,0.5,0
