CNAE,UF,count_contratos,valor_total,valor_medio,n_orgaos,n_meis
7319002,RO,1,600000.0,600000.0,1,1
7729202,75460000,1,58700.0,58700.0,1,1
8592999,SALA 05 06,1,211200.0,211200.0,1,1
1529700,SP,1,230000.0,230000.0,1,1
9512600,BA,3,1543258.0,514419.3333333333,3,3
5612100,RS,3,118900.0,39633.333333333336,2,3
1622699,MG,2,479500.0,239750.0,2,2
7420001,CE,1,3944491.0,3944491.0,1,1
4744001,GO,2,297700.0,148850.0,2,2
5620102,MG,2,1095680.0,547840.0,2,2
9609206,SP,2,659250.0,329625.0,1,1
7911200,MG,2,6973680.0,3486840.0,2,2
3329501,RS,1,50000.0,50000.0,1,1
4742300,BA,1,7521012.0,7521012.0,1,1
2539001,MT,1,17900.0,17900.0,1,1
4321500,75837645,1,220000.0,220000.0,1,1
7319002,75084140,1,50925.0,50925.0,1,1
4520001,75810000,1,95200.0,95200.0,1,1
4752100,PB,1,202800.0,202800.0,1,1
8219901,RN,1,287400.0,287400.0,1,1
1821100,BA,1,70000.0,70000.0,1,1
4752100,BA,2,1180000.0,590000.0,2,2
3291400,PE,1,651000.0,651000.0,1,1
8230001,CONJUNTO ROMILDO FERREIRA DO AMARAL,2,101000.0,50500.0,2,1
2532201,PR,1,24250.0,24250.0,1,1
3329501,GO,1,150000.0,150000.0,1,1
1091102,RS,4,1321275.0,330318.75,3,3
4761003,SC,1,18646008.0,18646008.0,1,1
4743100,73900000,1,20120.0,20120.0,1,1
4754703,MG,1,163200.0,163200.0,1,1
4723700,GO,1,555200.0,555200.0,1,1
8599604,SE,1,14500.0,14500.0,1,1
9002702,RJ,1,588000.0,588000.0,1,1
3212400,MG,1,4957.0,4957.0,1,1
1091101,SC,1,122315.0,122315.0,1,1
4929901,SP,1,0.0,0.0,1,1
8129000,PB,1,165000.0,165000.0,1,1
4789002,76056149,3,62400.0,20800.0,1,1
5912099,GO,1,247920.0,247920.0,1,1
7733100,SP,1,34896.0,34896.0,1,1
9001902,PI,4,210000.0,52500.0,1,2
4722902,PB,1,949500.0,949500.0,1,1
1412601,PA,1,281000.0,281000.0,1,1
4763604,PR,1,85332.0,85332.0,1,1
4321500,PA,1,542500.0,542500.0,1,1
0161002,BA,2,6870336.0,3435168.0,1,2
1412602,TO,1,85766.0,85766.0,1,1
4772500,MT,1,599994.0,599994.0,1,1
4520005,RJ,2,684400.0,342200.0,2,1
3299004,RJ,2,307800.0,153900.0,2,1
2330399,MG,1,0.0,0.0,1,1
4722901,BA,1,203515.0,203515.0,1,1
9529103,30120074,1,14300.0,14300.0,1,1
1412602,SP,23,3048046.0,132523.73913043478,15,16
4399103,PR,21,124109574.0,5909979.714285715,14,16
5223100,RS,2,81600.0,40800.0,2,2
4789007,MG,12,1776892.0,148074.33333333334,10,4
4781400,SP,58,5531499.0,95370.6724137931,41,23
